X,Y,EXPEDIENTE,OPERADOR,PROYECTO,NUM_ACT_AD,FEC_ACT_AD,ART_ACT_AD,VEREDA,MUNICIPIO,DEPTO,CAR,NOMBRE,ID_MON_RUI,ALTURA,OBSTACULOS,DISTANCIA,SUBSECTOR,OBSERV,COTA,COOR_ESTE,COOR_NORTE,icon_url
-76.2476355453738,3.67403356091747,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Santa Elena,"76248","76",1033.00000000000,R5_21,R5_21,4.00000000000,Arboles 30 metros aprox.,0.00000000000,80205.00000000000,,1041.00000000000,4639308.65899999999,1964639.29300000006,./0.png
-76.2477800022883,3.71372999816217,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,La Floresta,"76248","76",1033.00000000000,R6_21,R6_21,4.00000000000,Arboles 30 metros aprox.,0.00000000000,80205.00000000000,,1040.00000000000,4639308.65899999999,1969032.47200000007,./0.png
-76.2389700042725,3.72206000176971,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,La Floresta,"76306","76",1033.00000000000,R7_21,R7_21,4.00000000000,Arboles 40 metros aprox.,0.00000000000,80205.00000000000,,1078.00000000000,4640291.50399999972,1969950.73300000001,./0.png
-75.851749999912,4.85069444436335,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Caimalito,"66001","66",1004.00000000000,R1_18,R1_18,4.00000000000,"-",0.00000000000,80205.00000000000,,1122.00000000000,4683797.53909999970,2094661.12920000008,./0.png
-75.8897500003828,4.76683333308495,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Puerto Caldas,"66001","66",1004.00000000000,R2_18,R2_18,4.00000000000,"-",0.00000000000,80209.00000000000,,980.00000000000,4679541.30759999994,2085401.18329999992,./0.png
-75.8802777774363,4.61436111142256,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Villa Rodas,"76497","76",1033.00000000000,R3_18,R3_18,4.00000000000,"-",0.00000000000,80211.00000000000,,1192.00000000000,4680523.20720000006,2068528.46509999991,./0.png
-76.1261111113433,4.06991666703123,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,La Iberia,"76834","76",1033.00000000000,R4_18,R4_18,4.00000000000,"-",0.00000000000,80209.00000000000,,1208.00000000000,4652980.70500000007,2008397.58829999994,./0.png
-76.2174166665448,3.88555555545066,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Monterrey,"76111","76",1033.00000000000,R5_18,R5_18,4.00000000000,"-",0.00000000000,80209.00000000000,,1287.00000000000,4642755.13870000001,1988035.15639999998,./0.png
-76.2244166662574,3.76897222232005,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Puente Rojo,"76318","76",1033.00000000000,R6_18,R6_18,4.00000000000,"-",0.00000000000,80211.00000000000,,1260.00000000000,4641928.56109999958,1975136.36309999996,./0.png
-76.2244444442004,3.74008333331233,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,La Floresta,"76306","76",1033.00000000000,R7_18,R7_18,4.00000000000,"-",0.00000000000,80211.00000000000,,1459.00000000000,4641913.67899999954,1971939.37290000007,./0.png
-76.2120555556317,3.65502777733231,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Santa Elena,"76248","76",1033.00000000000,R8_18,R8_18,4.00000000000,"-",0.00000000000,80211.00000000000,,1206.00000000000,4643256.88700000010,1962521.73319999990,./0.png
-76.1994444443623,3.61761111140808,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Tablones,"76520","76",1033.00000000000,R9_18,R9_18,4.00000000000,"-",0.00000000000,80209.00000000000,,1148.00000000000,4644644.30310000014,1958376.10379999992,./0.png
-76.2083611112668,3.49672222229738,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Guayabal,"76520","76",1033.00000000000,R10_18,R10_18,4.00000000000,"-",0.00000000000,80209.00000000000,,1268.00000000000,4643606.38559999969,1945001.63419999997,./0.png
-76.3350555550627,3.48588888890131,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Bolo - Alizal,"76520","76",1033.00000000000,R11_18,R11_18,4.00000000000,"-",0.00000000000,80209.00000000000,,983.00000000000,4629512.96380000003,1943851.75420000008,./0.png
-76.4964444440779,3.36958333343064,,Grupo Energía Bogotá,UPME 04-2014 REFUERZO SUROCCIDENTAL A 500 kV PROYECTO LA VIRGINIA – ALFÉREZ ESTUDIO DE IMPACTO AMBIENTAL,,,,Valle del Lili,"76001","76",1033.00000000000,R12_18,R12_18,4.00000000000,"-",0.00000000000,80205.00000000000,,955.00000000000,4611515.69299999997,1931042.37000000011,./0.png
